Designator,,Val,Package,Mid X,Mid Y,Rotation,Layer
C001,,0.1u,C_0402_1005Metric,106.05,-95.8,180,top
C101,,2.2u,C_0402_1005Metric,116,-75.9,0,top
C102,,47u,C_1210_3225Metric,117.8,-71.85,0,top
C201,,0.1u,C_0402_1005Metric,97.8825,-99.3,180,top
C202,,0.1u,C_0402_1005Metric,97.8825,-103.3,180,top
C205,,0.1u,C_0402_1005Metric,95.6,-108.4,-90,top
C301,,4.7u,C_0402_1005Metric,105.95,-77.9,0,top
C302,,4.7u,C_0402_1005Metric,103.65,-77.1,0,top
C304,,100n,C_0402_1005Metric,106.9,-78.85,180,top
C305,,100n,C_0402_1005Metric,100.25,-75.78,90,top
C306,,100n,C_0402_1005Metric,97.15,-78.5,180,top
C307,,100n,C_0402_1005Metric,96.35,-83.35,180,top
C310,,100n,C_0402_1005Metric,107.48,-82.4,0,top
C311,,100n,C_0402_1005Metric,107.32,-79.8,0,top
C312,,100n,C_0402_1005Metric,96.32,-81.3,180,top
C314,,4.7u,C_0402_1005Metric,107.5,-81.45,0,top
C315,,100n,C_0402_1005Metric,99.92,-71.7,0,top
C316,,15p,C_0402_1005Metric,102.7,-90.1,0,top
C317,,15p,C_0402_1005Metric,100.35,-90.1,180,top
C318,,100n,C_0402_1005Metric,90.87,-85.8,180,top
C319,,100n,C_0402_1005Metric,94.5,-84.05,90,top
D001,,LED,LED_0805_2012Metric,96.3,-90.05,0,top
D002,,LED,LED_0805_2012Metric,80.4875,-93.85,180,top
D003,,LED,LED_0805_2012Metric,121.9125,-94.4375,0,top
D101,,ESD5Z5V0,D_SOD-523,114.2,-82.2,90,top
D102,,PRTR5V0U2X,SOT-143,113.2375,-85.25,-90,top
D103,,LED,LED_0805_2012Metric,121.75,-74.9,0,top
D301,,ESD5Z3V3,D_SOD-523,89.25,-74.55,-90,top
D302,,ESD5Z3V3,D_SOD-523,89.25,-79.3,-90,top
D303,,ESD5Z3V3,D_SOD-523,89.25,-84.15,-90,top
D304,,ESD5Z3V3,D_SOD-523,89.2,-88.95,-90,top
D305,,ESD5Z3V3,D_SOD-523,85.3,-90.4,180,top
J201,,Conn_01x20_Pin,Hirose_FH12-20S-0.5SH_1x20-1MP_P0.50mm_Horizontal,83.1,-102.85,-90,top
J202,,Conn_01x20_Pin,Hirose_FH12-20S-0.5SH_1x20-1MP_P0.50mm_Horizontal,119.3,-103.45,90,top
L101,,1u,L_Sunlord_SWPA4030S,113.1,-72.95,90,top
L301,,3.3u,L_Sunlord_SWPA3015S,104.5,-74.8,0,top
P101,,USB_C_Plug_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,120.3,-85.35,90,top
Q001,,BSS138,SOT-23,93.7,-91.65,0,top
Q002,,BSS138,SOT-23,84.1375,-93.1,180,top
Q003,,BSS138,SOT-23,118.3,-93.6875,0,top
Q101,,BSS83P,SOT-23,121.9,-77.95,-90,top
Q201,,BSS138,SOT-23,97.8,-109.7375,-90,top
R001,,100k,R_0402_1005Metric,91.3,-91.7,-90,top
R002,,22,R_0805_2012Metric,96.3,-93.15,0,top
R003,,100k,R_0402_1005Metric,86.6,-94.05,90,top
R004,,42.2,R_0805_2012Metric,80.5,-91.95,0,top
R005,,100k,R_0402_1005Metric,115.9,-93.4,-90,top
R006,,42.2,R_0805_2012Metric,121.9125,-92.5375,0,top
R101,,453k,R_0402_1005Metric,118.95,-73.95,0,top
R102,,100k,R_0402_1005Metric,118.95,-75,0,top
R103,,100k,R_0402_1005Metric,116,-76.9,0,top
R104,,188,R_0805_2012Metric,118.4,-78.95,180,top
R201,,10k,R_0402_1005Metric,98.19,-106.2,180,top
R202,,10k,R_0402_1005Metric,97.8,-105.2,180,top
R203,,10k,R_0402_1005Metric,101.19,-95.65,180,top
R204,,100k,R_0402_1005Metric,94.65,-108.4,-90,top
R301,,27,R_0402_1005Metric,102.2,-75.75,90,top
R302,,27,R_0402_1005Metric,101.25,-75.75,90,top
R303,,1k,R_0402_1005Metric,90.5,-74.35,-90,top
R304,,1k,R_0402_1005Metric,101.7,-88.65,90,top
R305,,10k,R_0402_1005Metric,90.5,-79.11,-90,top
R306,,10k,R_0402_1005Metric,91.95,-84.75,0,top
R307,,100K,R_0402_1005Metric,105.5,-109.3,90,top
R308,,100K,R_0402_1005Metric,106.5,-109.3,90,top
R309,,100k,R_0402_1005Metric,90.45,-83.95,90,top
R310,,100k,R_0402_1005Metric,90.4,-88.85,90,top
R312,,33,R_0402_1005Metric,107.25,-76.95,0,top
SW301,,SW_DIP_x01,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_Low,83.8,-73.05,180,top
SW302,,SW_DIP_x01,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_Low,83.8,-77.8,180,top
SW304,,SW_DIP_x01,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_Low,83.8,-82.55,180,top
SW305,,SW_DIP_x01,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_Low,83.8,-87.3,180,top
U001,,TS5A3159ADCK,SOT-363_SC-70-6,106.05,-93.9,0,top
U101,,TPS62A02ADRL,SOT-563,116.7,-74.45,0,top
U201,,TMUXHS4412,WQFN-42-1EP_3.5x9mm_P0.5mm_EP2.05x7.55mm_ThermalVi,101.175,-101.3,0,top
U202,,TPD4E02B04DQA,USON-10_2.5x1.0mm_P0.5mm,87.1025,-102.6,0,top
U203,,TPD4E02B04DQA,USON-10_2.5x1.0mm_P0.5mm,87.1025,-99.6,0,top
U204,,TPD4E02B04DQA,USON-10_2.5x1.0mm_P0.5mm,115.215,-103.2,180,top
U205,,TPD4E02B04DQA,USON-10_2.5x1.0mm_P0.5mm,115.215,-100.2,180,top
U206,,TS5A3159ADCK,SOT-363_SC-70-6,101.15,-107.85,180,top
U301,,RP2350,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm_ThermalVias,101.85,-82.15,0,top
U302,,W25Q128JVP,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,95.65,-73.655,0,top
U303,,TXS0102DCT,SSOP-8_2.95x2.8mm_P0.65mm,94.6,-86.925,180,top
Y1,,ABM8-22272-T3,Crystal_SMD_3225-4Pin_3.2x2.5mm,101.5,-92.4,0,top
C203,,0.1u,C_0402_1005Metric,97.8825,-103.3,180,bottom
C204,,0.1u,C_0402_1005Metric,97.8825,-99.3,180,bottom
C303,,4.7u,C_0402_1005Metric,104.05,-78.3,-90,bottom
C308,,100n,C_0402_1005Metric,100.65,-85.35,90,bottom
C309,,100n,C_0402_1005Metric,104.5,-85.25,180,bottom
C313,,100n,C_0402_1005Metric,101.85,-85.37,90,bottom
J001,,Conn_01x18_Pin,Hirose_FH12-18S-0.5SH_1x18-1MP_P0.50mm_Horizontal,105.5,-91.3,180,bottom
J301,,Micro_SD_Card,microSD_HC_Hirose_DM3AT-SF-PEJM5,86.57,-79.765,0,bottom
R311,,10k,R_0402_1005Metric,87.9,-90.95,0,bottom
U304,,TPD4E02B04DQA,USON-10_2.5x1.0mm_P0.5mm,86.1,-89.535,90,bottom
## End,,,,,,,
